slip,mu_noisy,surface,c1_true,c2_true,c3_true,mu_true,s_opt_true,mu_peak_true,scenario,dist_name,mode
0.0767161001685093,1.03693094688627,Dry asphalt,1.2801,23.99,0.52,1.03699065591623,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.0893375525890717,1.08346624448766,Dry asphalt,1.2801,23.99,0.52,1.08351687368969,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.0927147637529499,1.09339577788175,Dry asphalt,1.2801,23.99,0.52,1.09344426958965,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.103328835726641,1.11900443217312,Dry asphalt,1.2801,23.99,0.52,1.11904689289059,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.0983311615509638,1.10793007598824,Dry asphalt,1.2801,23.99,0.52,1.10797525327711,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.107916469975353,1.1278059932163,Dry asphalt,1.2801,23.99,0.52,1.12784613694663,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.102448109089177,1.11717025196604,Dry asphalt,1.2801,23.99,0.52,1.11721317638809,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.108315726093911,1.12851499618406,Dry asphalt,1.2801,23.99,0.52,1.12855494582203,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.104282990030365,1.12093748488876,Dry asphalt,1.2801,23.99,0.52,1.12097945025323,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.106870607451432,1.12590670473612,Dry asphalt,1.2801,23.99,0.52,1.12594736251358,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.104187225494984,1.12074597486759,Dry asphalt,1.2801,23.99,0.52,1.12078798962267,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.103681927782562,1.11972626009928,Dry asphalt,1.2801,23.99,0.52,1.11976853666369,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.0971326527263859,1.10502331786997,Dry asphalt,1.2801,23.99,0.52,1.10506917837212,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.105678173200099,1.12366542516541,Dry asphalt,1.2801,23.99,0.52,1.12370667910058,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.10688789862659,1.12593860586912,Dry asphalt,1.2801,23.99,0.52,1.12597925508123,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.106548026591555,1.12530844518265,Dry asphalt,1.2801,23.99,0.52,1.12534926316751,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.105944530341325,1.12417318354007,Dry asphalt,1.2801,23.99,0.52,1.12421430336877,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.10944611064084,1.13047523451996,Dry asphalt,1.2801,23.99,0.52,1.13051464097039,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.113364944095784,1.13675473481806,Dry asphalt,1.2801,23.99,0.52,1.13679232839382,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.111754683566353,1.13426881840247,Dry asphalt,1.2801,23.99,0.52,1.13430714395181,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.111239140665943,1.13344550845501,Dry asphalt,1.2801,23.99,0.52,1.13348407213044,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.114081474810799,1.13782014311181,Dry asphalt,1.2801,23.99,0.52,1.13785741662853,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.120697824446001,1.14655264723679,Dry asphalt,1.2801,23.99,0.52,1.14658712181613,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.119340344129768,1.14491601628181,Dry asphalt,1.2801,23.99,0.52,1.14495104286707,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.120343220822526,1.14613246454896,Dry asphalt,1.2801,23.99,0.52,1.14616708225449,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.11739093628437,1.14242946504412,Dry asphalt,1.2801,23.99,0.52,1.14246530405629,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.114257407669479,1.13807797405896,Dry asphalt,1.2801,23.99,0.52,1.13811516951508,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.111511689051241,1.13388244323843,Dry asphalt,1.2801,23.99,0.52,1.13392088079481,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.119337940496655,1.14491305034789,Dry asphalt,1.2801,23.99,0.52,1.14494807792046,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.118958566522256,1.14444187027329,Dry asphalt,1.2801,23.99,0.52,1.14447705411788,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.119815598962661,1.14549769384982,Dry asphalt,1.2801,23.99,0.52,1.14553252591229,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.117083876957818,1.14202272322961,Dry asphalt,1.2801,23.99,0.52,1.14205869237349,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.122527932118022,1.14864074524383,Dry asphalt,1.2801,23.99,0.52,1.14867449296476,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
0.123924643591416,1.15014620672303,Dry asphalt,1.2801,23.99,0.52,1.15017941277023,0.17000840950972,1.17001992884736,Dry High,60F/40R,Framework
